Continuous,Importance,comments,Hide/Unhide,Outliers,Missing data,Relation with target
Id,U,,hide,,,
scrape_id,U,,hide,,,
host_id,U,,hide,,,
host_listing_count,unsure,,,,,
host_total_listings_count,unsure,,,,,
latitude,unsure,,,,,
longitude,unsure,,,,,
accomodates,unsure,price same pattern for every accomdation,,,,
bathrooms,U,no data in the column,hide,,,
bedrooms,unsure,"5894 rows have missing values
(change variable type to ordinal)",,,,
beds,unsure,324 rows have missing values,,,,
minimum_nights,,,,,,
maximum_nights,,,,,,
minimum_minimum_nights,,,,,,
maximum_minimum_nights,,,,,,
minimum_maximum_nights,,,,,,
maximum_maximum_nights,,,,,,
minimum_nights_avg_ntm,,,,,,
maximum_nights_avg_ntm,,,,,,
calendar_updated,,,,,,
availability_30,,,,,,
availability_60,,,,,,
availability_90,,,,,,
availability_365,,,,,,
number_of_reviews,,,,,,
number_of_reviews_ltm,,,,,,
number_of_reviews_l30d,,,,,,
review_scores_rating,,,,,,
review_scores_accuracy,,,,,,
review_scores_cleanliness,,,,,,
review_scores_checkin,,,,,,
review_scores_communication,,,,,,
review_scores_location,,,,,,
review_scores_value,,,,,,
calculated_host_listings_count,,,,,,
calculated_host_listings_count_entire_homes,,,,,,
calculated_host_listings_count_private_rooms,,,,,,
calculated_host_listings_count_shared_rooms,,,,,,
reviews_per_month,,,,,,
